,day,lower bound,upper bound
0,0.0,0.0,0.0
1,1.0,-0.05138207261439859,0.28207992303764373
2,2.0,0.10224915228944853,0.46155361478942025
3,3.0,0.1804223357168131,0.5093369655404428
4,4.0,0.2214428832586759,0.48034087412693854
5,5.0,0.23628894796424238,0.4516380678904084
6,6.0,0.23523565297049887,0.4164728666989777
7,7.0,0.23097656276406775,0.3854257558222892
8,8.0,0.22230230476509494,0.35336730372008474
9,9.0,0.21234194392630668,0.325104139258625
10,10.0,0.204612229854093,0.2991618167012934
11,11.0,0.19385154033480334,0.2694603961952404
12,12.0,0.1824521933231289,0.24931770441558176
13,13.0,0.17147209634099336,0.22513955452282863
14,14.0,0.16354903460442738,0.21075981756972895
15,15.0,0.15194485716988781,0.19425633296594536
16,16.0,0.1456116074031779,0.18181533832281094
17,17.0,0.1352935954057094,0.1658560647442877
18,18.0,0.1288270438917175,0.15579364696660292
19,19.0,0.11874707342093083,0.14164375278042884
20,20.0,0.10930635816628154,0.1292921001660129
21,21.0,0.10349663575104395,0.12067157747629476
22,22.0,0.09684595349363112,0.11280234847291293
23,23.0,0.09019314731214312,0.10480075263805544
24,24.0,0.08393966949524723,0.09826764026166501
25,25.0,0.07952557357967005,0.09315260080969023
26,26.0,0.07821693411580855,0.08858345212234475
27,27.0,0.07317524239705597,0.0822553819277938
28,28.0,0.06832785985892997,0.07663312959066282
29,29.0,0.06477280100807348,0.07105221499258396
